leaf,model_label,arm,temperature,calls_owed,calls_recorded,complete
post_money_valuation,gemma3-1b,t07_legacy,0.7,80,80,True
post_money_valuation,deepseek-v4f,t07_legacy,0.7,80,80,True
post_money_valuation,deepseek-v4p,t07_legacy,0.7,80,80,True
post_money_valuation,gemma4-31b-or,t07_legacy,0.7,80,80,True
post_money_valuation,mistral-large-or,t07_legacy,0.7,80,80,True
post_money_valuation,minimax-m2.5-or,t07_legacy,0.7,80,80,True
post_money_valuation,llama3.3-70b-or,t07_legacy,0.7,80,80,True
post_money_valuation,gemma3-1b-qat,t07_legacy,0.7,80,80,True
post_money_valuation,gemini3-flash-or,t07_legacy,0.7,80,80,True
post_money_valuation,haiku-4.5-direct,t07_legacy,0.7,80,80,True
post_money_valuation,gpt-oss-120b-or,t07_legacy,0.7,80,80,True
post_money_valuation,gpt5-mini-or,t07_legacy,0.7,80,80,True
post_money_valuation,gemma3-1b,t01,0.1,80,80,True
post_money_valuation,deepseek-v4f,t01,0.1,80,80,True
post_money_valuation,deepseek-v4p,t01,0.1,80,80,True
post_money_valuation,gemma4-31b-or,t01,0.1,80,80,True
post_money_valuation,mistral-large-or,t01,0.1,80,80,True
post_money_valuation,minimax-m2.5-or,t01,0.1,80,80,True
post_money_valuation,llama3.3-70b-or,t01,0.1,80,80,True
post_money_valuation,gemma3-1b-qat,t01,0.1,80,80,True
post_money_valuation,gemini3-flash-or,t01,0.1,80,80,True
post_money_valuation,haiku-4.5-direct,t01,0.1,80,80,True
post_money_valuation,gpt-oss-120b-or,t01,0.1,80,80,True
post_money_valuation,gpt5-mini-or,t01,0.1,80,80,True
post_money_valuation,gemma3-1b,t07_rerun,0.7,80,80,True
post_money_valuation,gemma3-1b-qat,t07_rerun,0.7,80,80,True
pre_vs_post_money,gemma3-1b,t07_legacy,0.7,380,380,True
pre_vs_post_money,deepseek-v4f,t07_legacy,0.7,380,380,True
pre_vs_post_money,deepseek-v4p,t07_legacy,0.7,380,380,True
pre_vs_post_money,gemma4-31b-or,t07_legacy,0.7,380,380,True
pre_vs_post_money,mistral-large-or,t07_legacy,0.7,380,380,True
pre_vs_post_money,minimax-m2.5-or,t07_legacy,0.7,380,380,True
pre_vs_post_money,llama3.3-70b-or,t07_legacy,0.7,380,380,True
pre_vs_post_money,gemma3-1b-qat,t07_legacy,0.7,380,380,True
pre_vs_post_money,gemini3-flash-or,t07_legacy,0.7,380,380,True
pre_vs_post_money,haiku-4.5-direct,t07_legacy,0.7,380,380,True
pre_vs_post_money,gpt-oss-120b-or,t07_legacy,0.7,380,380,True
pre_vs_post_money,gpt5-mini-or,t07_legacy,0.7,380,380,True
pre_vs_post_money,gemma3-1b,t01,0.1,380,380,True
pre_vs_post_money,deepseek-v4f,t01,0.1,380,380,True
pre_vs_post_money,deepseek-v4p,t01,0.1,380,380,True
pre_vs_post_money,gemma4-31b-or,t01,0.1,380,380,True
pre_vs_post_money,mistral-large-or,t01,0.1,380,380,True
pre_vs_post_money,minimax-m2.5-or,t01,0.1,380,380,True
pre_vs_post_money,llama3.3-70b-or,t01,0.1,380,380,True
pre_vs_post_money,gemma3-1b-qat,t01,0.1,380,380,True
pre_vs_post_money,gemini3-flash-or,t01,0.1,380,380,True
pre_vs_post_money,haiku-4.5-direct,t01,0.1,380,380,True
pre_vs_post_money,gpt-oss-120b-or,t01,0.1,380,380,True
pre_vs_post_money,gpt5-mini-or,t01,0.1,380,380,True
pre_vs_post_money,gemma3-1b,t07_rerun,0.7,380,380,True
pre_vs_post_money,gemma3-1b-qat,t07_rerun,0.7,380,380,True
price_per_share,gemma3-1b,t07_legacy,0.7,160,160,True
price_per_share,deepseek-v4f,t07_legacy,0.7,160,160,True
price_per_share,deepseek-v4p,t07_legacy,0.7,160,160,True
price_per_share,gemma4-31b-or,t07_legacy,0.7,160,160,True
price_per_share,mistral-large-or,t07_legacy,0.7,160,160,True
price_per_share,minimax-m2.5-or,t07_legacy,0.7,160,160,True
price_per_share,llama3.3-70b-or,t07_legacy,0.7,160,160,True
price_per_share,gemma3-1b-qat,t07_legacy,0.7,160,160,True
price_per_share,gemini3-flash-or,t07_legacy,0.7,160,160,True
price_per_share,haiku-4.5-direct,t07_legacy,0.7,160,160,True
price_per_share,gpt-oss-120b-or,t07_legacy,0.7,160,160,True
price_per_share,gpt5-mini-or,t07_legacy,0.7,160,160,True
price_per_share,gemma3-1b,t01,0.1,160,160,True
price_per_share,deepseek-v4f,t01,0.1,160,160,True
price_per_share,deepseek-v4p,t01,0.1,160,160,True
price_per_share,gemma4-31b-or,t01,0.1,160,160,True
price_per_share,mistral-large-or,t01,0.1,160,160,True
price_per_share,minimax-m2.5-or,t01,0.1,160,160,True
price_per_share,llama3.3-70b-or,t01,0.1,160,160,True
price_per_share,gemma3-1b-qat,t01,0.1,160,160,True
price_per_share,gemini3-flash-or,t01,0.1,160,160,True
price_per_share,haiku-4.5-direct,t01,0.1,160,160,True
price_per_share,gpt-oss-120b-or,t01,0.1,160,160,True
price_per_share,gpt5-mini-or,t01,0.1,160,160,True
price_per_share,gemma3-1b,t07_rerun,0.7,160,160,True
price_per_share,gemma3-1b-qat,t07_rerun,0.7,160,160,True
round_size,gemma3-1b,t07_legacy,0.7,200,200,True
round_size,deepseek-v4f,t07_legacy,0.7,200,200,True
round_size,deepseek-v4p,t07_legacy,0.7,200,200,True
round_size,gemma4-31b-or,t07_legacy,0.7,200,200,True
round_size,mistral-large-or,t07_legacy,0.7,200,200,True
round_size,minimax-m2.5-or,t07_legacy,0.7,200,200,True
round_size,llama3.3-70b-or,t07_legacy,0.7,200,200,True
round_size,gemma3-1b-qat,t07_legacy,0.7,200,200,True
round_size,gemini3-flash-or,t07_legacy,0.7,200,200,True
round_size,haiku-4.5-direct,t07_legacy,0.7,200,200,True
round_size,gpt-oss-120b-or,t07_legacy,0.7,200,200,True
round_size,gpt5-mini-or,t07_legacy,0.7,200,200,True
round_size,gemma3-1b,t01,0.1,200,200,True
round_size,deepseek-v4f,t01,0.1,200,200,True
round_size,deepseek-v4p,t01,0.1,200,200,True
round_size,gemma4-31b-or,t01,0.1,200,200,True
round_size,mistral-large-or,t01,0.1,200,200,True
round_size,minimax-m2.5-or,t01,0.1,200,200,True
round_size,llama3.3-70b-or,t01,0.1,200,200,True
round_size,gemma3-1b-qat,t01,0.1,200,200,True
round_size,gemini3-flash-or,t01,0.1,200,200,True
round_size,haiku-4.5-direct,t01,0.1,200,200,True
round_size,gpt-oss-120b-or,t01,0.1,200,200,True
round_size,gpt5-mini-or,t01,0.1,200,200,True
round_size,gemma3-1b,t07_rerun,0.7,200,200,True
round_size,gemma3-1b-qat,t07_rerun,0.7,200,200,True
per_investor_allocation,gemma3-1b,t07_legacy,0.7,100,100,True
per_investor_allocation,deepseek-v4f,t07_legacy,0.7,100,100,True
per_investor_allocation,deepseek-v4p,t07_legacy,0.7,100,100,True
per_investor_allocation,gemma4-31b-or,t07_legacy,0.7,100,100,True
per_investor_allocation,mistral-large-or,t07_legacy,0.7,100,100,True
per_investor_allocation,minimax-m2.5-or,t07_legacy,0.7,100,100,True
per_investor_allocation,llama3.3-70b-or,t07_legacy,0.7,100,100,True
per_investor_allocation,gemma3-1b-qat,t07_legacy,0.7,100,100,True
per_investor_allocation,gemini3-flash-or,t07_legacy,0.7,100,100,True
per_investor_allocation,haiku-4.5-direct,t07_legacy,0.7,100,100,True
per_investor_allocation,gpt-oss-120b-or,t07_legacy,0.7,100,100,True
per_investor_allocation,gpt5-mini-or,t07_legacy,0.7,100,100,True
per_investor_allocation,gemma3-1b,t01,0.1,100,100,True
per_investor_allocation,deepseek-v4f,t01,0.1,100,100,True
per_investor_allocation,deepseek-v4p,t01,0.1,100,100,True
per_investor_allocation,gemma4-31b-or,t01,0.1,100,100,True
per_investor_allocation,mistral-large-or,t01,0.1,100,100,True
per_investor_allocation,minimax-m2.5-or,t01,0.1,100,100,True
per_investor_allocation,llama3.3-70b-or,t01,0.1,100,100,True
per_investor_allocation,gemma3-1b-qat,t01,0.1,100,100,True
per_investor_allocation,gemini3-flash-or,t01,0.1,100,100,True
per_investor_allocation,haiku-4.5-direct,t01,0.1,100,100,True
per_investor_allocation,gpt-oss-120b-or,t01,0.1,100,100,True
per_investor_allocation,gpt5-mini-or,t01,0.1,100,100,True
per_investor_allocation,gemma3-1b,t07_rerun,0.7,100,100,True
per_investor_allocation,gemma3-1b-qat,t07_rerun,0.7,100,100,True
liquidation_preference_multiple,gemma3-1b,t07_legacy,0.7,180,180,True
liquidation_preference_multiple,deepseek-v4f,t07_legacy,0.7,180,180,True
liquidation_preference_multiple,deepseek-v4p,t07_legacy,0.7,180,180,True
liquidation_preference_multiple,gemma4-31b-or,t07_legacy,0.7,180,180,True
liquidation_preference_multiple,mistral-large-or,t07_legacy,0.7,180,180,True
liquidation_preference_multiple,minimax-m2.5-or,t07_legacy,0.7,180,180,True
liquidation_preference_multiple,llama3.3-70b-or,t07_legacy,0.7,180,180,True
liquidation_preference_multiple,gemma3-1b-qat,t07_legacy,0.7,180,180,True
liquidation_preference_multiple,gemini3-flash-or,t07_legacy,0.7,180,180,True
liquidation_preference_multiple,haiku-4.5-direct,t07_legacy,0.7,180,180,True
liquidation_preference_multiple,gpt-oss-120b-or,t07_legacy,0.7,180,180,True
liquidation_preference_multiple,gpt5-mini-or,t07_legacy,0.7,180,180,True
liquidation_preference_multiple,gemma3-1b,t01,0.1,180,180,True
liquidation_preference_multiple,deepseek-v4f,t01,0.1,180,180,True
liquidation_preference_multiple,deepseek-v4p,t01,0.1,180,180,True
liquidation_preference_multiple,gemma4-31b-or,t01,0.1,180,180,True
liquidation_preference_multiple,mistral-large-or,t01,0.1,180,180,True
liquidation_preference_multiple,minimax-m2.5-or,t01,0.1,180,180,True
liquidation_preference_multiple,llama3.3-70b-or,t01,0.1,180,180,True
liquidation_preference_multiple,gemma3-1b-qat,t01,0.1,180,180,True
liquidation_preference_multiple,gemini3-flash-or,t01,0.1,180,180,True
liquidation_preference_multiple,haiku-4.5-direct,t01,0.1,180,180,True
